"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS","14/238","45/7868",0.311111111111111,10.2849673202614,11.0314031362293,2.6601423522136e-11,1.15184163850849e-08,1.07245739041875e-08,"60481/2181/2194/10682/1718/2180/6319/3157/6646/1717/9619/3156/2222/9415",14,"WikiPathways","Enza_vs_Control_DHT"
"WP_OMEGA9_FATTY_ACID_SYNTHESIS","WP_OMEGA9_FATTY_ACID_SYNTHESIS","7/238","14/7868",0.5,16.5294117647059,10.270802059259,6.08003500424682e-08,1.31632757841944e-05,1.22560705611923e-05,"60481/2181/2194/2180/6319/9415/79966",7,"WikiPathways","Enza_vs_Control_DHT"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES","15/238","104/7868",0.144230769230769,4.76809954751131,6.83167281213062,4.53394708318942e-07,6.54399695673673e-05,6.09298853635631e-05,"60481/2181/403313/10682/1718/2180/6319/3157/1717/9619/3156/8647/2222/9415/1583",15,"WikiPathways","Enza_vs_Control_DHT"
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","WP_CHOLESTEROL_SYNTHESIS_DISORDERS","6/238","17/7868",0.352941176470588,11.6678200692042,7.77621820466397,6.72951573868557e-06,0.000728470078712713,0.00067826434945173,"10682/1718/3157/1717/3156/2222",6,"WikiPathways","Enza_vs_Control_DHT"
"WP_CHOLESTEROL_METABOLISM","WP_CHOLESTEROL_METABOLISM","10/238","66/7868",0.151515151515152,5.00891265597148,5.77598921441084,2.5282641740683e-05,0.00186800277616809,0.00173926112379331,"3949/10682/1718/3157/6646/4864/1717/3156/8647/2222",10,"WikiPathways","Enza_vs_Control_DHT"
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","10/238","67/7868",0.149253731343284,4.93415276558384,5.71142222080588,2.89403892831561e-05,0.00186800277616809,0.00173926112379331,"31/3949/23175/2194/1622/6319/3157/3156/2222/3638",10,"WikiPathways","Enza_vs_Control_DHT"
"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER","8/238","42/7868",0.19047619047619,6.296918767507,6.07867355266529,3.01986591990222e-05,0.00186800277616809,0.00173926112379331,"6675/3949/2194/6510/6646/3156/2746/8501",8,"WikiPathways","Enza_vs_Control_DHT"
"WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","WP_ENTEROCYTE_CHOLESTEROL_METABOLISM","7/238","33/7868",0.212121212121212,7.01247771836007,6.11254028112417,4.6257553308762e-05,0.00250369007283674,0.00233113722595471,"3949/10682/1718/3157/1717/3156/2222",7,"WikiPathways","Enza_vs_Control_DHT"
"WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","WP_SREBF_AND_MIR33_IN_CHOLESTEROL_AND_LIPID_HOMEOSTASIS","5/238","17/7868",0.294117647058824,9.72318339100346,6.35869156469603,0.000111544982602981,0.00536655305189897,0.00499669337274172,"3949/2194/6319/3157/3156",5,"WikiPathways","Enza_vs_Control_DHT"
"WP_FATTY_ACID_BIOSYNTHESIS","WP_FATTY_ACID_BIOSYNTHESIS","5/238","22/7868",0.227272727272727,7.51336898395722,5.40285926291587,0.000419387745296131,0.0180762568868149,0.0168304518965604,"31/2181/2194/2180/6319",5,"WikiPathways","Enza_vs_Control_DHT"
"WP_FERROPTOSIS","WP_FERROPTOSIS","8/238","61/7868",0.131147540983607,4.33558341369335,4.61876023461117,0.000459212068718162,0.0180762568868149,0.0168304518965604,"2181/2180/6510/3156/8644/2222/1645/1803",8,"WikiPathways","Enza_vs_Control_DHT"
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","6/238","36/7868",0.166666666666667,5.50980392156863,4.78964533164166,0.000653915120267834,0.023595437256331,0.0219692536019807,"10257/3248/8644/5734/1645/1583",6,"WikiPathways","Enza_vs_Control_DHT"
